New Tree Number,Tree Number,Site,Seed Zone,Date Measured,Tree Height (cm),Tree Diameter (mm),Health,Comment,Year Measured,Elk Browse
34,148,Swan Creek,OR,6/7/2024,85,16.7,Alive,,2024,
35,149,Swan Creek,OR,6/7/2024,112,25.2,Alive,,2024,
36,150,Swan Creek,OR,6/7/2024,133,36.6,Alive,,2024,
37,151,Swan Creek,OR,6/7/2024,114,23.9,Alive,,2024,
38,152,Swan Creek,OR,6/7/2024,109,21,Alive,,2024,
,153,Swan Creek,OR,6/7/2024,77,9.5,Dead,,2024,
45,154,Swan Creek,OR,6/7/2024,115,14.2,Alive,,2024,
,155,Swan Creek,OR,6/7/2024,85,12.5,Dead,,2024,
,156,Swan Creek,OR,6/7/2024,110,12.7,Dead,,2024,
46,157,Swan Creek,OR,6/7/2024,100,15,Dying,,2024,
,158,Swan Creek,OR,6/7/2024,,,Missing,,2024,
47,159,Swan Creek,OR,6/7/2024,109,19.1,Alive,,2024,
48,160,Swan Creek,OR,6/7/2024,94,11.7,Dying,,2024,
49,161,Swan Creek,OR,6/7/2024,101,19.3,Alive,,2024,
54,162,Swan Creek,OR,6/7/2024,91,15.4,Alive,,2024,
,163,Swan Creek,OR,6/7/2024,,,Missing,,2024,
55,164,Swan Creek,OR,6/7/2024,114,29.9,Alive,,2024,
56,165,Swan Creek,OR,6/7/2024,120,29.2,Alive,,2024,
57,166,Swan Creek,OR,6/7/2024,99,19.5,Dying,,2024,
58,167,Swan Creek,OR,6/7/2024,105,24,Alive,,2024,
,168,Swan Creek,OR,6/7/2024,,,Missing,,2024,
,169,Swan Creek,OR,6/7/2024,,,Missing,,2024,
,170,Swan Creek,OR,6/7/2024,,,Missing,,2024,
65,171,Swan Creek,OR,6/7/2024,123,24.7,Alive,,2024,
66,172,Swan Creek,OR,6/7/2024,122,24.8,Alive,,2024,
67,173,Swan Creek,OR,6/7/2024,79,12.8,Alive,,2024,
68,174,Swan Creek,OR,6/7/2024,106,19.3,Alive,,2024,
,175,Swan Creek,OR,6/7/2024,,,Missing,,2024,
1,126,Swan Creek,WA,6/7/2024,128,30.2,Alive,,2024,
2,127,Swan Creek,WA,6/7/2024,133,31.1,Alive,2 leaders,2024,
,128,Swan Creek,WA,6/7/2024,,,Missing,,2024,
3,129,Swan Creek,WA,6/7/2024,133,32.8,Alive,,2024,
4,130,Swan Creek,WA,6/7/2024,119,25.9,Alive,,2024,
5,131,Swan Creek,WA,6/7/2024,99,19.5,Alive,,2024,
6,132,Swan Creek,WA,6/7/2024,90,12.4,Alive,,2024,
,133,Swan Creek,WA,6/7/2024,82,11.9,Alive,,2024,
,134,Swan Creek,Wa,6/7/2024,,,Missing,,2024,
13,135,Swan Creek,WA,6/7/2024,124,26.4,Alive,,2024,
,136,Swan Creek,WA,6/7/2024,114,11.9,Dead,,2024,
14,137,Swan Creek,WA,6/7/2024,130,28.4,Alive,,2024,
15,138,Swan Creek,WA,6/7/2024,121,24.5,Alive,,2024,
16,139,Swan Creek,WA,6/7/2024,105,23.6,Alive,,2024,
17,140,Swan Creek,WA,6/7/2024,124,27.2,Alive,,2024,
18,141,Swan Creek,WA,6/7/2024,107,30.4,Alive,,2024,
,142,Swan Creek,WA,6/7/2024,,,Missing,,2024,
