"","Tree Number","Site","Seed Zone","Measurement.Year","Date Measured","Tree Height (cm)","Tree Diameter (mm)","Health","Comment","Date Planted","Temp Tree Number","New Tree Number","Year Measured","Elk Browse","Planted Growth Days","Final.Health"
"992",115,"Tomanamus","WA",2025,2025-07-31,92,16.28,"Alive","healing from slice, browsed",2020-03-12,360,440,NA,"Y",1967,"Alive"
"993",116,"Tomanamus","OR",2022,2020-02-07,85,10,"Alive",NA,2020-03-12,116,490,NA,"N",-34,"Alive"
"994",116,"Tomanamus","OR",2023,2023-04-28,65,9.9,"Alive","5% dead, top browsed",2020-03-12,116,490,NA,"Y",1142,"Alive"
"995",116,"Tomanamus","OR",2024,2024-07-18,112,15,"Alive",NA,2020-03-12,116,490,2024,"N",1589,"Alive"
"996",116,"Tomanamus","OR",2025,2025-07-31,145,23.4,"Alive",NA,2020-03-12,116,490,NA,"N",1967,"Alive"
"997",116,"Tomanamus","WA",2022,2020-02-07,7.2,5.3,"Alive",NA,2020-03-12,361,441,NA,"N",-34,"Dead"
"998",116,"Tomanamus","WA",2023,2023-04-28,66,5.1,"Dead","missing tag",2020-03-12,361,441,NA,"N",1142,"Dead"
"999",116,"Tomanamus","WA",2024,2024-07-18,101,16,"Dead","Higher elevation, browsed",2020-03-12,361,441,2024,"Y",1589,"Dead"
"1000",116,"Tomanamus","WA",2025,2025-07-31,NA,NA,"Dead",NA,2020-03-12,361,441,NA,"N",1967,"Dead"
"1001",117,"Tomanamus","OR",2022,2020-02-07,79,9.5,"Alive",NA,2020-03-12,117,491,NA,"N",-34,"Alive"
"1002",117,"Tomanamus","OR",2023,2023-04-28,89,11.4,"Alive","60% dead, 2 leaders",2020-03-12,117,491,NA,"N",1142,"Alive"
"1003",117,"Tomanamus","OR",2024,2024-07-18,95,14.6,"Alive",NA,2020-03-12,117,491,2024,"N",1589,"Alive"
"1004",117,"Tomanamus","OR",2025,2025-07-31,98,17.2,"Alive","no tag",2020-03-12,117,491,NA,"N",1967,"Alive"
"1005",117,"Tomanamus","WA",2022,2020-02-07,99,12.4,"Alive",NA,2020-03-12,362,442,NA,"N",-34,"Alive"
"1006",117,"Tomanamus","WA",2023,2023-04-28,87,14,"Alive","browsed top and lateral",2020-03-12,362,442,NA,"Y",1142,"Alive"
"1007",117,"Tomanamus","WA",2024,2024-07-18,98,18.3,"Alive","Browsed",2020-03-12,362,442,2024,"Y",1589,"Alive"
"1008",117,"Tomanamus","WA",2025,2025-07-31,127,23.18,"Alive","bottom branch severed",2020-03-12,362,442,NA,"N",1967,"Alive"
"1009",118,"Tomanamus","OR",2022,2020-02-07,63.8,8,"Alive",NA,2020-03-12,118,492,NA,"N",-34,"Alive"
"1010",118,"Tomanamus","OR",2023,2023-04-28,60,10.5,"Alive","15% dead, top browsed",2020-03-12,118,492,NA,"Y",1142,"Alive"
"1011",118,"Tomanamus","OR",2024,2024-07-18,68,13,"Alive","Browsed",2020-03-12,118,492,2024,"Y",1589,"Alive"
"1012",118,"Tomanamus","OR",2025,2025-07-31,70,15.6,"Alive",NA,2020-03-12,118,492,NA,"N",1967,"Alive"
"1013",118,"Tomanamus","WA",2022,2020-02-07,98.8,13.5,"Alive",NA,2020-03-12,363,443,NA,"N",-34,"Alive"
"1014",118,"Tomanamus","WA",2023,2023-04-28,94,12.6,"Alive","browsed top",2020-03-12,363,443,NA,"Y",1142,"Alive"
"1015",118,"Tomanamus","WA",2024,2024-07-18,66,4.7,"Alive","Browsed",2020-03-12,363,443,2024,"Y",1589,"Alive"
"1016",118,"Tomanamus","WA",2025,2025-07-31,119,19.5,"Alive","near stump",2020-03-12,363,443,NA,"N",1967,"Alive"
"1017",119,"Tomanamus","OR",2022,2020-02-07,68,9,"Alive","two tops",2020-03-12,119,493,NA,"N",-34,"Alive"
"1018",119,"Tomanamus","OR",2023,2023-04-28,82,10.1,"Alive","10% dead",2020-03-12,119,493,NA,"N",1142,"Alive"
"1019",119,"Tomanamus","OR",2024,2024-07-18,103,NA,"Alive","Browsed",2020-03-12,119,493,2024,"Y",1589,"Alive"
"1020",119,"Tomanamus","OR",2025,2025-07-31,145,23,"Alive",NA,2020-03-12,119,493,NA,"N",1967,"Alive"
"1021",119,"Tomanamus","WA",2022,2020-02-07,99,11.5,"Alive",NA,2020-03-12,364,444,NA,"N",-34,"Alive"
"1022",119,"Tomanamus","WA",2023,2023-04-28,95,12.3,"Alive","browsed top",2020-03-12,364,444,NA,"Y",1142,"Alive"
"1023",119,"Tomanamus","WA",2024,2024-07-18,103,14,"Alive","Browsed",2020-03-12,364,444,2024,"Y",1589,"Alive"
"1024",119,"Tomanamus","WA",2025,2025-07-31,136,20.3,"Alive",NA,2020-03-12,364,444,NA,"N",1967,"Alive"
"1025",120,"Tomanamus","OR",2022,2020-02-07,77.6,10,"Alive",NA,2020-03-12,120,494,NA,"N",-34,"Alive"
"1026",120,"Tomanamus","OR",2023,2023-04-28,79,10.2,"Alive","5% dead",2020-03-12,120,494,NA,"N",1142,"Alive"
"1027",120,"Tomanamus","OR",2024,2024-07-18,90,NA,"Alive",NA,2020-03-12,120,494,2024,"N",1589,"Alive"
"1028",120,"Tomanamus","OR",2025,2025-07-31,100,22.9,"Alive","dying branches, flagging",2020-03-12,120,494,NA,"N",1967,"Alive"
"1029",120,"Tomanamus","WA",2022,2020-02-07,116,11.5,"Alive",NA,2020-03-12,365,445,NA,"N",-34,"Alive"
"1030",120,"Tomanamus","WA",2023,2023-04-28,109,13.5,"Alive","browsed top",2020-03-12,365,445,NA,"Y",1142,"Alive"
"1031",120,"Tomanamus","WA",2024,2024-07-18,110,13.4,"Alive","Browsed",2020-03-12,365,445,2024,"Y",1589,"Alive"
"1032",120,"Tomanamus","WA",2025,2025-07-31,123,19.33,"Alive","two leads same height",2020-03-12,365,445,NA,"N",1967,"Alive"
"1033",121,"Tomanamus","OR",2022,2020-02-07,80.4,10,"Alive",NA,2020-03-12,121,495,NA,"N",-34,"Alive"
"1034",121,"Tomanamus","OR",2023,2023-04-28,83,10.4,"Alive","5% dead, top browsed",2020-03-12,121,495,NA,"Y",1142,"Alive"
"1035",121,"Tomanamus","OR",2024,2024-07-18,144,NA,"Alive","Browsed",2020-03-12,121,495,2024,"Y",1589,"Alive"
"1036",121,"Tomanamus","OR",2025,2025-07-31,129,25.9,"Alive","browsed, flagging",2020-03-12,121,495,NA,"Y",1967,"Alive"
"1037",121,"Tomanamus","WA",2022,2020-02-07,96.6,9.6,"Alive",NA,2020-03-12,366,446,NA,"N",-34,"Alive"
"1038",121,"Tomanamus","WA",2023,2023-04-28,89,10.8,"Alive","browsed top",2020-03-12,366,446,NA,"Y",1142,"Alive"
"1039",121,"Tomanamus","WA",2024,2024-07-18,93,11.6,"Alive","Thimbleberry, browsed",2020-03-12,366,446,2024,"Y",1589,"Alive"
"1040",121,"Tomanamus","WA",2025,2025-07-31,96,15.6,"Alive","near stump",2020-03-12,366,446,NA,"N",1967,"Alive"
"1041",122,"Tomanamus","OR",2022,2020-02-07,78,8.5,"Alive",NA,2020-03-12,122,496,NA,"N",-34,"Alive"
"1042",122,"Tomanamus","OR",2023,2023-04-28,84,9.3,"Alive","20% dead",2020-03-12,122,496,NA,"N",1142,"Alive"
"1043",122,"Tomanamus","OR",2024,2024-07-18,108,NA,"Alive","Browsed",2020-03-12,122,496,2024,"Y",1589,"Alive"
"1044",122,"Tomanamus","OR",2025,2025-07-31,142,30.2,"Alive","near stump",2020-03-12,122,496,NA,"N",1967,"Alive"
"1045",122,"Tomanamus","WA",2022,2020-02-07,116,13.7,"Alive",NA,2020-03-12,367,447,NA,"N",-34,"Alive"
"1046",122,"Tomanamus","WA",2023,2023-04-28,109,14.4,"Alive","browsed lateral",2020-03-12,367,447,NA,"Y",1142,"Alive"
"1047",122,"Tomanamus","WA",2024,2024-07-18,110,18.3,"Alive","Blackcap raspberry, browsed",2020-03-12,367,447,2024,"Y",1589,"Alive"
"1048",122,"Tomanamus","WA",2025,2025-07-31,146,28.7,"Alive","dead branches in center, browsed old lead",2020-03-12,367,447,NA,"Y",1967,"Alive"
"1049",123,"Tomanamus","OR",2022,2020-02-07,91.4,8.5,"Alive",NA,2020-03-12,123,497,NA,"N",-34,"Alive"
"1050",123,"Tomanamus","OR",2023,2023-04-28,86,11.6,"Alive","40% dead, top browsed",2020-03-12,123,497,NA,"Y",1142,"Alive"
"1051",123,"Tomanamus","OR",2024,2024-07-18,100,NA,"Alive",NA,2020-03-12,123,497,2024,"N",1589,"Alive"
"1052",123,"Tomanamus","OR",2025,2025-07-31,135,29.3,"Alive","slightly browsed, flagging",2020-03-12,123,497,NA,"Y",1967,"Alive"
"1053",123,"Tomanamus","WA",2022,2020-02-07,97,12.6,"Alive",NA,2020-03-12,368,448,NA,"N",-34,"Alive"
"1054",123,"Tomanamus","WA",2023,2023-04-28,90,13.3,"Alive","browsed top and  lateral",2020-03-12,368,448,NA,"Y",1142,"Alive"
"1055",123,"Tomanamus","WA",2024,2024-07-18,118,19,"Alive","Browsed",2020-03-12,368,448,2024,"Y",1589,"Alive"
"1056",123,"Tomanamus","WA",2025,2025-07-31,122,25.3,"Alive","flagging, dieback, browsed center, dead top, new lead emerging",2020-03-12,368,448,NA,"Y",1967,"Alive"
"1057",124,"Tomanamus","OR",2022,2020-02-07,84,12,"Alive",NA,2020-03-12,124,498,NA,"N",-34,"Dead"
"1058",124,"Tomanamus","OR",2023,2023-04-28,84,13.1,"Alive","5% dead, top browsed",2020-03-12,124,498,NA,"Y",1142,"Dead"
"1059",124,"Tomanamus","OR",2024,2024-07-18,NA,NA,"Dead",NA,2020-03-12,124,498,2024,"N",1589,"Dead"
"1060",124,"Tomanamus","OR",2025,2025-07-31,158,19.7,"Dead",NA,2020-03-12,124,498,NA,"N",1967,"Dead"
"1061",124,"Tomanamus","WA",2022,2020-02-07,90.8,12,"Alive",NA,2020-03-12,369,449,NA,"N",-34,"Alive"
"1062",124,"Tomanamus","WA",2023,2023-04-28,80,13.3,"Alive","browsed top and  lateral",2020-03-12,369,449,NA,"Y",1142,"Alive"
"1063",124,"Tomanamus","WA",2024,2024-07-18,129,22.6,"Alive",NA,2020-03-12,369,449,2024,"N",1589,"Alive"
"1064",124,"Tomanamus","WA",2025,2025-07-31,187,34.37,"Alive",NA,2020-03-12,369,449,NA,"N",1967,"Alive"
"1065",125,"Tomanamus","OR",2022,2020-02-07,96.2,10,"Alive",NA,2020-03-12,125,499,NA,"N",-34,"Alive"
"1066",125,"Tomanamus","OR",2023,2023-04-28,108,12.3,"Alive","5% dead",2020-03-12,125,499,NA,"N",1142,"Alive"
"1067",125,"Tomanamus","OR",2024,2024-07-18,149,NA,"Alive","Browsed",2020-03-12,125,499,2024,"Y",1589,"Alive"
"1068",125,"Tomanamus","OR",2025,2025-07-31,197,37.4,"Alive",NA,2020-03-12,125,499,NA,"N",1967,"Alive"
"1069",125,"Tomanamus","WA",2022,2020-02-07,101.2,10.9,"Alive",NA,2020-03-12,370,450,NA,"N",-34,"Alive"
"1070",125,"Tomanamus","WA",2023,2023-04-28,107,11.9,"Alive",NA,2020-03-12,370,450,NA,"N",1142,"Alive"
"1071",125,"Tomanamus","WA",2024,2024-07-18,131,18.6,"Alive",NA,2020-03-12,370,450,2024,"N",1589,"Alive"
"1072",125,"Tomanamus","WA",2025,2025-07-31,157,19.8,"Alive",NA,2020-03-12,370,450,NA,"N",1967,"Alive"
"1073",126,"Swan Creek","OR",2022,2020-03-17,85.5,12.3,"Alive",NA,2020-03-19,126,NA,NA,"N",-2,"Dead"
"1074",126,"Swan Creek","OR",2023,2023-04-05,95,11.2,"Alive",NA,2020-03-19,126,NA,NA,"N",1112,"Dead"
"1075",126,"Swan Creek","OR",2024,2024-06-07,102,21.4,"Dead",NA,2020-03-19,126,NA,2024,"N",1541,"Dead"
"1076",126,"Swan Creek","OR",2025,2025-06-13,NA,NA,"Dead",NA,2020-03-19,126,NA,NA,"N",1912,"Dead"
"1077",126,"Swan Creek","WA",2022,2020-03-17,98.2,10.3,"Alive",NA,2020-03-19,371,1,NA,"N",-2,"Alive"
"1078",126,"Swan Creek","WA",2023,2023-04-05,104,16.8,"Alive",NA,2020-03-19,371,1,NA,"N",1112,"Alive"
"1079",126,"Swan Creek","WA",2024,2024-06-07,128,30.2,"Alive",NA,2020-03-19,371,1,2024,"N",1541,"Alive"
"1080",126,"Swan Creek","WA",2025,2025-06-13,185,46.5,"Alive",NA,2020-03-19,371,1,NA,"N",1912,"Alive"
"1081",126,"Swan Creek","WA",2026,2026-04-29,199,49.17,"Alive",NA,2020-03-19,371,1,NA,"N",2232,"Alive"
"1082",127,"Swan Creek","OR",2022,2020-03-17,85,9.6,"Alive",NA,2020-03-19,127,7,NA,"N",-2,"Alive"
"1083",127,"Swan Creek","OR",2023,2023-04-05,90,10.6,"Alive",NA,2020-03-19,127,7,NA,"N",1112,"Alive"
"1084",127,"Swan Creek","OR",2024,2024-06-07,111,21.5,"Alive",NA,2020-03-19,127,7,2024,"N",1541,"Alive"
"1085",127,"Swan Creek","OR",2025,2025-06-13,167,36.3,"Alive",NA,2020-03-19,127,7,NA,"N",1912,"Alive"
"1086",127,"Swan Creek","OR",2026,2026-04-29,179,38.79,"Alive",NA,2020-03-19,127,7,NA,"N",2232,"Alive"
"1087",127,"Swan Creek","WA",2022,2020-03-17,99.6,10,"Alive","two shoots/tops",2020-03-19,372,2,NA,"N",-2,"Alive"
"1088",127,"Swan Creek","WA",2023,2023-04-05,106,16.8,"Alive","2 leaders",2020-03-19,372,2,NA,"N",1112,"Alive"
"1089",127,"Swan Creek","WA",2024,2024-06-07,133,31.1,"Alive","2 leaders",2020-03-19,372,2,2024,"N",1541,"Alive"
"1090",127,"Swan Creek","WA",2025,2025-06-13,169,37.8,"Alive","2 trees?",2020-03-19,372,2,NA,"N",1912,"Alive"
"1091",127,"Swan Creek","WA",2026,2026-04-29,178,40.36,"Alive","two leads, measured longest",2020-03-19,372,2,NA,"N",2232,"Alive"
"1092",128,"Swan Creek","OR",2022,2020-03-17,84,8.1,"Alive",NA,2020-03-19,128,8,NA,"N",-2,"Dead"
"1093",128,"Swan Creek","OR",2023,2023-04-05,87,14.5,"Alive",NA,2020-03-19,128,8,NA,"N",1112,"Dead"
"1094",128,"Swan Creek","OR",2024,2024-06-07,123,30.7,"Alive",NA,2020-03-19,128,8,2024,"N",1541,"Dead"
"1095",128,"Swan Creek","OR",2025,2025-06-13,192,40.8,"Alive",NA,2020-03-19,128,8,NA,"N",1912,"Dead"
"1096",128,"Swan Creek","OR",2026,2026-04-29,NA,NA,"Dead",NA,2020-03-19,128,8,NA,"N",2232,"Dead"
"1097",128,"Swan Creek","WA",2022,2020-03-17,100.4,11.2,"Alive",NA,2020-03-19,373,NA,NA,"N",-2,"Missing"
"1098",128,"Swan Creek","WA",2023,2023-04-05,103,10.8,"Alive",NA,2020-03-19,373,NA,NA,"N",1112,"Missing"
"1099",128,"Swan Creek","WA",2024,2024-06-07,NA,NA,"Missing",NA,2020-03-19,373,NA,2024,"N",1541,"Missing"
"1100",128,"Swan Creek","WA",2025,2025-06-13,NA,NA,"Missing",NA,2020-03-19,373,NA,NA,"N",1912,"Missing"
"1101",129,"Swan Creek","OR",2022,2020-03-17,89,8.2,"Alive",NA,2020-03-19,129,9,NA,"N",-2,"Alive"
"1102",129,"Swan Creek","OR",2023,2023-04-05,97,17.2,"Alive",NA,2020-03-19,129,9,NA,"N",1112,"Alive"
"1103",129,"Swan Creek","OR",2024,2024-06-07,164,46.1,"Alive","Curved and needs a stake",2020-03-19,129,9,2024,"N",1541,"Alive"
"1104",129,"Swan Creek","OR",2025,2025-06-13,221,65.5,"Alive",NA,2020-03-19,129,9,NA,"N",1912,"Alive"
"1105",129,"Swan Creek","OR",2026,2026-04-29,235,59.06,"Alive","potentially move tag up (PMTU)",2020-03-19,129,9,NA,"N",2232,"Alive"
"1106",129,"Swan Creek","WA",2022,2020-03-17,99.6,12.7,"Alive",NA,2020-03-19,374,3,NA,"N",-2,"Alive"
"1107",129,"Swan Creek","WA",2023,2023-04-05,103,14.8,"Alive",NA,2020-03-19,374,3,NA,"N",1112,"Alive"
"1108",129,"Swan Creek","WA",2024,2024-06-07,133,32.8,"Alive",NA,2020-03-19,374,3,2024,"N",1541,"Alive"
"1109",129,"Swan Creek","WA",2025,2025-06-13,191,48.7,"Alive",NA,2020-03-19,374,3,NA,"N",1912,"Alive"
"1110",129,"Swan Creek","WA",2026,2026-04-29,206,62.46,"Alive",NA,2020-03-19,374,3,NA,"N",2232,"Alive"
"1111",130,"Swan Creek","OR",2022,2020-03-17,80,10.6,"Alive",NA,2020-03-19,130,10,NA,"N",-2,"Alive"
"1112",130,"Swan Creek","OR",2023,2023-04-05,92,15.6,"Alive",NA,2020-03-19,130,10,NA,"N",1112,"Alive"
"1113",130,"Swan Creek","OR",2024,2024-06-07,146,33.8,"Alive",NA,2020-03-19,130,10,2024,"N",1541,"Alive"
"1114",130,"Swan Creek","OR",2025,2025-06-13,193,49.2,"Alive",NA,2020-03-19,130,10,NA,"N",1912,"Alive"
"1115",130,"Swan Creek","OR",2026,2026-04-29,206,53.78,"Alive","PMTU",2020-03-19,130,10,NA,"N",2232,"Alive"
"1116",130,"Swan Creek","WA",2022,2020-03-17,103.4,12.8,"Alive",NA,2020-03-19,375,4,NA,"N",-2,"Alive"
"1117",130,"Swan Creek","WA",2023,2023-04-05,110,12.5,"Alive",NA,2020-03-19,375,4,NA,"N",1112,"Alive"
"1118",130,"Swan Creek","WA",2024,2024-06-07,119,25.9,"Alive",NA,2020-03-19,375,4,2024,"N",1541,"Alive"
"1119",130,"Swan Creek","WA",2025,2025-06-13,157,40.9,"Alive",NA,2020-03-19,375,4,NA,"N",1912,"Alive"
"1120",130,"Swan Creek","WA",2026,2026-04-29,171,43.88,"Alive",NA,2020-03-19,375,4,NA,"N",2232,"Alive"
"1121",131,"Swan Creek","OR",2022,2020-03-17,81,10.5,"Alive",NA,2020-03-19,131,11,NA,"N",-2,"Alive"
"1122",131,"Swan Creek","OR",2023,2023-04-05,99,21.2,"Alive",NA,2020-03-19,131,11,NA,"N",1112,"Alive"
"1123",131,"Swan Creek","OR",2024,2024-06-07,138,43.2,"Alive",NA,2020-03-19,131,11,2024,"N",1541,"Alive"
"1124",131,"Swan Creek","OR",2025,2025-06-13,173,59.7,"Alive",NA,2020-03-19,131,11,NA,"N",1912,"Alive"
"1125",131,"Swan Creek","OR",2026,2026-04-29,185,64.34,"Alive","PMTU",2020-03-19,131,11,NA,"N",2232,"Alive"
"1126",131,"Swan Creek","WA",2022,2020-03-17,90.4,9.8,"Alive",NA,2020-03-19,376,5,NA,"N",-2,"Alive"
"1127",131,"Swan Creek","WA",2023,2023-04-05,95,12.5,"Alive",NA,2020-03-19,376,5,NA,"N",1112,"Alive"
"1128",131,"Swan Creek","WA",2024,2024-06-07,99,19.5,"Alive",NA,2020-03-19,376,5,2024,"N",1541,"Alive"
"1129",131,"Swan Creek","WA",2025,2025-06-13,107,24,"Alive",NA,2020-03-19,376,5,NA,"N",1912,"Alive"
"1130",131,"Swan Creek","WA",2026,2026-04-29,111,23.76,"Alive","Dying/Dead, scotchbroom",2020-03-19,376,5,NA,"N",2232,"Alive"
"1131",132,"Swan Creek","OR",2022,2020-03-17,55,6.8,"Alive","two shoots/tops",2020-03-19,132,NA,NA,"N",-2,"Dead"
"1132",132,"Swan Creek","OR",2023,2023-04-05,59,8.2,"Alive","2 Leaders",2020-03-19,132,NA,NA,"N",1112,"Dead"
"1133",132,"Swan Creek","OR",2024,2024-06-07,NA,NA,"Dead",NA,2020-03-19,132,NA,2024,"N",1541,"Dead"
"1134",132,"Swan Creek","OR",2025,2025-06-13,NA,NA,"Dead",NA,2020-03-19,132,NA,NA,"N",1912,"Dead"
"1135",132,"Swan Creek","WA",2022,2020-03-17,90,9.9,"Alive",NA,2020-03-19,377,6,NA,"N",-2,"Dead"
"1136",132,"Swan Creek","WA",2023,2023-04-05,86,9.6,"Alive",NA,2020-03-19,377,6,NA,"N",1112,"Dead"
"1137",132,"Swan Creek","WA",2024,2024-06-07,90,12.4,"Alive",NA,2020-03-19,377,6,2024,"N",1541,"Dead"
"1138",132,"Swan Creek","WA",2025,2025-06-13,NA,NA,"Dead","Dead/pulled out",2020-03-19,377,6,NA,"N",1912,"Dead"
"1139",132,"Swan Creek","WA",2026,2026-04-29,NA,NA,"Dead",NA,2020-03-19,377,6,NA,"N",2232,"Dead"
"1140",133,"Swan Creek","OR",2022,2020-03-17,70,9.1,"Alive",NA,2020-03-19,133,NA,NA,"N",-2,"Dead"
"1141",133,"Swan Creek","OR",2023,2023-04-05,72,10.7,"Alive",NA,2020-03-19,133,NA,NA,"N",1112,"Dead"
"1142",133,"Swan Creek","OR",2024,2024-06-07,NA,NA,"Dead",NA,2020-03-19,133,NA,2024,"N",1541,"Dead"
"1143",133,"Swan Creek","OR",2025,2025-06-13,NA,NA,"Dead",NA,2020-03-19,133,NA,NA,"N",1912,"Dead"
"1144",133,"Swan Creek","WA",2022,2020-03-17,85.2,9.7,"Alive",NA,2020-03-19,378,NA,NA,"N",-2,"Alive"
"1145",133,"Swan Creek","WA",2023,2023-04-05,84,10.8,"Alive",NA,2020-03-19,378,NA,NA,"N",1112,"Alive"
"1146",133,"Swan Creek","WA",2024,2024-06-07,82,11.9,"Alive",NA,2020-03-19,378,NA,2024,"N",1541,"Alive"
"1147",133,"Swan Creek","WA",2025,2025-06-13,NA,NA,"Alive",NA,2020-03-19,378,NA,NA,"N",1912,"Alive"
"1148",134,"Swan Creek","OR",2022,2020-03-17,87.5,9.3,"Alive",NA,2020-03-19,134,12,NA,"N",-2,"Alive"
"1149",134,"Swan Creek","OR",2023,2023-04-05,94,10.2,"Alive",NA,2020-03-19,134,12,NA,"N",1112,"Alive"
"1150",134,"Swan Creek","OR",2024,2024-06-07,113,20.5,"Alive",NA,2020-03-19,134,12,2024,"N",1541,"Alive"
"1151",134,"Swan Creek","OR",2025,2025-06-13,146,29.4,"Alive",NA,2020-03-19,134,12,NA,"N",1912,"Alive"
"1152",134,"Swan Creek","OR",2026,2026-04-29,149,30.44,"Alive","yellowing, scotchbroom",2020-03-19,134,12,NA,"N",2232,"Alive"
"1153",134,"Swan Creek","WA",2022,2020-03-17,75.6,8.6,"Alive",NA,2020-03-19,379,NA,NA,"N",-2,"Dead"
"1154",134,"Swan Creek","WA",2023,2023-04-05,77,9.1,"Dead",NA,2020-03-19,379,NA,NA,"N",1112,"Dead"
"1155",134,"Swan Creek","WA",2024,2024-06-07,NA,NA,"Dead",NA,2020-03-19,379,NA,2024,"N",1541,"Dead"
"1156",134,"Swan Creek","WA",2025,2025-06-13,NA,NA,"Dead",NA,2020-03-19,379,NA,NA,"N",1912,"Dead"
"1157",135,"Swan Creek","OR",2022,2020-03-17,74.5,8.4,"Alive",NA,2020-03-19,135,20,NA,"N",-2,"Alive"
"1158",135,"Swan Creek","OR",2023,2023-04-05,88,16.3,"Alive",NA,2020-03-19,135,20,NA,"N",1112,"Alive"
"1159",135,"Swan Creek","OR",2024,2024-06-07,108,30.7,"Alive",NA,2020-03-19,135,20,2024,"N",1541,"Alive"
"1160",135,"Swan Creek","OR",2025,2025-06-13,120,39,"Alive",NA,2020-03-19,135,20,NA,"N",1912,"Alive"
"1161",135,"Swan Creek","OR",2026,2026-04-29,127,52.51,"Alive",NA,2020-03-19,135,20,NA,"N",2232,"Alive"
"1162",135,"Swan Creek","WA",2022,2020-03-17,102.6,12.2,"Alive",NA,2020-03-19,380,13,NA,"N",-2,"Dead"
"1163",135,"Swan Creek","WA",2023,2023-04-05,103,13.2,"Alive",NA,2020-03-19,380,13,NA,"N",1112,"Dead"
"1164",135,"Swan Creek","WA",2024,2024-06-07,124,26.4,"Alive",NA,2020-03-19,380,13,2024,"N",1541,"Dead"
"1165",135,"Swan Creek","WA",2025,2025-06-13,129,25,"Dead",NA,2020-03-19,380,13,NA,"N",1912,"Dead"
"1166",135,"Swan Creek","WA",2026,2026-04-29,NA,NA,"Dead",NA,2020-03-19,380,13,NA,"N",2232,"Dead"
"1167",136,"Swan Creek","OR",2022,2020-03-17,89,12.5,"Alive",NA,2020-03-19,136,21,NA,"N",-2,"Alive"
"1168",136,"Swan Creek","OR",2023,2023-04-05,91,12.9,"Alive",NA,2020-03-19,136,21,NA,"N",1112,"Alive"
"1169",136,"Swan Creek","OR",2024,2024-06-07,115,32.6,"Alive",NA,2020-03-19,136,21,2024,"N",1541,"Alive"
"1170",136,"Swan Creek","OR",2025,2025-06-13,124,46.6,"Alive",NA,2020-03-19,136,21,NA,"N",1912,"Alive"
"1171",136,"Swan Creek","OR",2026,2026-04-29,132,48.03,"Alive","PMTU",2020-03-19,136,21,NA,"N",2232,"Alive"
"1172",136,"Swan Creek","WA",2022,2020-03-17,97.8,9.2,"Alive",NA,2020-03-19,381,NA,NA,"N",-2,"Dead"
"1173",136,"Swan Creek","WA",2023,2023-04-05,104,11.1,"Alive",NA,2020-03-19,381,NA,NA,"N",1112,"Dead"
"1174",136,"Swan Creek","WA",2024,2024-06-07,114,11.9,"Dead",NA,2020-03-19,381,NA,2024,"N",1541,"Dead"
"1175",136,"Swan Creek","WA",2025,2025-06-13,NA,NA,"Dead",NA,2020-03-19,381,NA,NA,"N",1912,"Dead"
"1176",137,"Swan Creek","OR",2022,2020-03-17,77,10.1,"Alive",NA,2020-03-19,137,NA,NA,"N",-2,"Dead"
"1177",137,"Swan Creek","OR",2023,2023-04-05,82,13.1,"Alive",NA,2020-03-19,137,NA,NA,"N",1112,"Dead"
"1178",137,"Swan Creek","OR",2024,2024-06-07,82,18.9,"Dead",NA,2020-03-19,137,NA,2024,"N",1541,"Dead"
"1179",137,"Swan Creek","OR",2025,2025-06-13,NA,NA,"Dead",NA,2020-03-19,137,NA,NA,"N",1912,"Dead"
"1180",137,"Swan Creek","WA",2022,2020-03-17,99,11.8,"Alive",NA,2020-03-19,382,14,NA,"N",-2,"Dead"
"1181",137,"Swan Creek","WA",2023,2023-04-05,101,13.9,"Alive",NA,2020-03-19,382,14,NA,"N",1112,"Dead"
"1182",137,"Swan Creek","WA",2024,2024-06-07,130,28.4,"Alive",NA,2020-03-19,382,14,2024,"N",1541,"Dead"
"1183",137,"Swan Creek","WA",2025,2025-06-13,172,42.4,"Alive","Cones",2020-03-19,382,14,NA,"N",1912,"Dead"
"1184",137,"Swan Creek","WA",2026,2026-04-29,NA,NA,"Dead",NA,2020-03-19,382,14,NA,"N",2232,"Dead"
"1185",138,"Swan Creek","OR",2022,2020-03-17,91,8.7,"Alive",NA,2020-03-19,138,22,NA,"N",-2,"Alive"
"1186",138,"Swan Creek","OR",2023,2023-04-05,99,14.1,"Alive",NA,2020-03-19,138,22,NA,"N",1112,"Alive"
"1187",138,"Swan Creek","OR",2024,2024-06-07,145,23.1,"Alive",NA,2020-03-19,138,22,2024,"N",1541,"Alive"
"1188",138,"Swan Creek","OR",2025,2025-06-13,192,37.3,"Alive",NA,2020-03-19,138,22,NA,"N",1912,"Alive"
"1189",138,"Swan Creek","OR",2026,2026-04-29,208,50.79,"Alive","PMTU",2020-03-19,138,22,NA,"N",2232,"Alive"
"1190",138,"Swan Creek","WA",2022,2020-03-17,94,8.9,"Alive",NA,2020-03-19,383,15,NA,"N",-2,"Alive"
"1191",138,"Swan Creek","WA",2023,2023-04-05,96,11.6,"Alive",NA,2020-03-19,383,15,NA,"N",1112,"Alive"
"1192",138,"Swan Creek","WA",2024,2024-06-07,121,24.5,"Alive",NA,2020-03-19,383,15,2024,"N",1541,"Alive"
"1193",138,"Swan Creek","WA",2025,2025-06-13,165,40.8,"Alive",NA,2020-03-19,383,15,NA,"N",1912,"Alive"
